key,registrationMoment,incidentType,description,severityLevel,draftMode,key:flightAssignment
activity-log-13,2022/03/12 10:00,<marquee>Hacked</marquee>,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",5,true,flight-assignment-01
activity-log-14,2022/03/12 10:00,<script>alert(‘Hacked!’);</script>,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",5,true,flight-assignment-01
activity-log-15,2022/03/12 10:00,' or 'A' = 'A,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",5,true,flight-assignment-01
activity-log-16,2022/03/12 10:00,Lorem ipsum dolor sit amet,L,5,true,flight-assignment-01
activity-log-17,2022/03/12 10:00,Lorem ipsum dolor sit amet,Lo,5,true,flight-assignment-01
activity-log-18,2022/03/12 10:00,Lorem ipsum dolor sit amet,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut enim ad minim veniam? Quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor",5,true,flight-assignment-01
activity-log-19,2022/03/12 10:00,Lorem ipsum dolor sit amet,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut enim ad minim veniam? Quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor*",5,true,flight-assignment-01
activity-log-20,2022/03/12 10:00,Lorem ipsum dolor sit amet,โลเร็ม อิปซัม,5,true,flight-assignment-01
activity-log-21,2022/03/12 10:00,Lorem ipsum dolor sit amet,وريم إيبسومt,5,true,flight-assignment-01
activity-log-22,2022/03/12 10:00,Lorem ipsum dolor sit amet,洛伦·伊普森,5,true,flight-assignment-01
activity-log-23,2022/03/12 10:00,Lorem ipsum dolor sit amet,<marquee>Hacked</marquee>,5,true,flight-assignment-01
activity-log-24,2022/03/12 10:00,Lorem ipsum dolor sit amet,<script>alert(‘Hacked!’);</script>,5,true,flight-assignment-01
activity-log-25,2022/03/12 10:00,Lorem ipsum dolor sit amet,' or 'A' = 'A,5,true,flight-assignment-01
activity-log-26,2022/03/12 10:00,Lorem ipsum dolor sit amet,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",0,true,flight-assignment-01
activity-log-27,2022/03/12 10:00,Lorem ipsum dolor sit amet,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",1,true,flight-assignment-01
activity-log-28,2022/03/12 10:00,Lorem ipsum dolor sit amet,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",9,true,flight-assignment-01
activity-log-29,2022/03/12 10:00,Lorem ipsum dolor sit amet,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",10,false,flight-assignment-15
activity-log-30,2022/03/12 10:00,Lorem ipsum dolor sit amet,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",5,false,flight-assignment-15
